Ent_Mun,open_year,workers,workers_men,workers_wom,working_hours,workers_no_fixedSalary,workers_no_fixedSalary_men,workers_no_fixedSalary_wom,workers_no_fixedSalary_hours,w_age,w_educ,w_no_educ,w_basic_educ,w_med_educ,w_sup_educ,payroll,wage_salary,resell,expenses_stationary,expenses_energy,expenses_freight,expenses_water,internet_expenses_suppliers_web,internet_expenses_suppliers_webIntermediaries,internet_expenses_suppliers_socialNet,internet_expenses_suppliers_email,income_resell,percentage_sales_internet,percentage_sales_internet_webpage,percentage_sales_internet_webpageInterm,percentage_sales_internet_social,percentage_sales_internet_email,stock_level_twoago,stock_level_oneago,resalle_stock_level_twoago,resalle_stock_level_oneago,assets,assets_computation,credit_bank,credit_pop,credit_supp,credit_gov,credit_agio,credit_own,credit_use_open,credit_use_equip,credit_use_vehicle,credit_use_debt,credit_use_supplyNac,credit_use_supplyFor,credit_use_wage,lack_credit_req,lack_credit_noneed,lack_credit_interest,lack_credit_far,lack_credit_procedure,lack_credit_confidence,lack_credit_notgiven,cash_buy,cash_sell,card_buy,card_sell,deposit_buy,deposit_sell,wire_buy,wire_sell,check_buy,check_sell,challenges_lackcredit,challenges_bureocracy,challenges_tax,challenges_competition,challenges_informalCompetition,challenges_TechAccess,challenges_lowDemand,challenges_lowQualityMP,challenges_utilities,challenges_government_cost,challenges_lowQualityWorkers,challenges_insecurity,challenges_corruption,challenges_highInputPrice,total_investment,FBCF,oper_margin,gross_margin_resell,op_margin_exp_income,income_expense_relation,av_prof,total_expenses,total_income,resell_margin,cost_over_income,period,credit,bank_card,internet_bank,internet_formalities,internet_information,internet_management,technology_in_activities,sat,cfe,imss,record_system_extAccount,record_system_ownAccount,record_system_packAccount,record_system_noRegister,Survival,nstores
31016,2006.805556,1.944444444,0.833333333,1.111111111,5.111277778,0,0,0,0,1.944444444,1.944444444,0.361111111,1.027777778,0.25,0.305555556,7.666666667,7.666666667,174.0555556,0,3.861111111,0,0.083333333,0,0,0,0,249.8611111,0,0,0,0,0,13.38888889,12.25,13.38888889,12.25,45.16666667,0,0.027777778,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0.388888889,0.611111111,0,0.055555556,0.083333333,0,100,100,0,0,0,0,0,0,0,0,0.083333333,0,0.361111111,0.25,0.388888889,0,0.027777778,0,0.333333333,0,0,0,0,0.027777778,0.916666667,2.055555556,23.94501486,30.0661974,23.93399193,133.1810743,33.18107428,174.0555556,249.8611111,74.66666667,76.06600807,2019,0.027777778,0,NA,NA,NA,NA,0,0.194444444,1,0,0.055555556,0.194444444,0,0.75,0.585365854,36
31017,2008.777778,1.666666667,0.888888889,0.777777778,4.082666667,0,0,0,0,1.666666667,1.666666667,0.444444444,0.777777778,0.222222222,0.222222222,9.555555556,9.555555556,139,0,6,0,0.111111111,0,0,0,0,203.8888889,0,0,0,0,0,0,0,0,0,19.77777778,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111,0,0,0.111111111,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0.666666667,0,0,0.222222222,0,0,0,0,22.91070275,32.36076182,22.91070275,130.5173553,30.51735526,139,203.8888889,64.88888889,77.08929725,2019,0,0,NA,NA,NA,NA,0,0.222222222,1,0,0,1,0,0,0.416666667,9
31018,2007.888889,2.722222222,1.111111111,1.611111111,8.218888889,0,0,0,0,2.722222222,2.722222222,0,1.5,0.611111111,0.611111111,9.611111111,9.611111111,253.2222222,0.388888889,9.944444444,0,0,0,0,0,0,406.2777778,0,0,0,0,0,18.33333333,12,18.33333333,12,87.66666667,0,0.055555556,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0.111111111,0.722222222,0,0,0.055555556,0,100,100,0,0,0,0,0,0,0,0,0.111111111,0,0,0.055555556,0,0,0.166666667,0,0.277777778,0.111111111,0,0,0,0.5,-6.333333333,0,29.17769566,34.98839228,29.17769566,147.5641666,47.5641666,253.2222222,406.2777778,146.7222222,70.82230434,2019,0.055555556,0,NA,NA,NA,NA,NA,0.5,1,0,0.166666667,0.055555556,0,0.777777778,0.416666667,18
31019,2010.084249,1.545787546,0.512820513,1.032967033,4.565978022,0.003663004,0.003663004,0,0.00843956,1.545787546,1.545787546,0.153846154,1.205128205,0.117216117,0.06959707,3.26007326,3.26007326,186.7875458,0.018315018,6.399267399,0.073260073,0.10989011,0,0,0,0,268.0695971,0,0,0,0,0,10.14652015,6.271062271,10.10989011,6.238095238,49.51648352,0.098901099,0.032967033,0.007326007,0.032967033,0.003663004,0.003663004,0,0,0.010989011,0,0,0.076923077,0,0,0.216117216,0.318681319,0.311355311,0,0.007326007,0.047619048,0.003663004,96.63003663,100,0,0,0,0,0,0,0,0,0.208791209,0.007326007,0.084249084,0.245421245,0.065934066,0.014652015,0.153846154,0.003663004,0.344322344,0.003663004,0.010989011,0.087912088,0,0.3003663,-3.857142857,0.018315018,25.21219482,28.82276363,25.21219482,138.1193786,38.1193786,186.7875458,268.0695971,77.41025641,74.78780518,2019,0.080586081,0,NA,NA,NA,NA,0.0625,0.043956044,0.989010989,0,0.051282051,0.018315018,0,0.93040293,0.485632184,273
31020,2011.28125,1.53125,0.59375,0.9375,4.83825,0,0,0,0,1.53125,1.53125,0,0.875,0.65625,0,18.15625,18.15625,254.1875,0,9.84375,0,0.03125,0,0,0,0,380.3125,0,0,0,0,0,6.65625,8.28125,6.5,8.125,53.75,0.4375,0.0625,0.03125,0,0.0625,0,0,0.03125,0.03125,0,0,0.0625,0,0,0.0625,0.40625,0.5,0.03125,0,0,0,100,100,0,0,0,0,0,0,0,0,0.5,0,0.0625,0.1875,0.15625,0,0,0,0.46875,0,0,0.03125,0,0.15625,1.875,0.25,26.76622394,37.81305978,26.76622394,140.0490439,40.04904391,254.1875,380.3125,127.75,73.23377606,2019,0.125,0,NA,NA,NA,NA,0.4,0.125,0.96875,0,0.125,0.71875,0,0.15625,0.31147541,32
31021,2008.366667,1.816666667,0.783333333,1.033333333,4.762766667,0.05,0.05,0,0.1512,1.816666667,1.816666667,0,1.416666667,0.3,0.1,3.633333333,3.633333333,176.45,0.216666667,7.2,0,0,0,0,0,0,272.2333333,0,0,0,0,0,1.533333333,4.25,1.533333333,4.25,59.8,0.5,0.016666667,0,0.016666667,0.033333333,0.016666667,0,0.033333333,0.05,0,0.016666667,0,0,0,0,0.166666667,0.45,0.016666667,0,0.066666667,0.016666667,100,100,0,0,0,0,0,0,0,0,0.15,0,0.133333333,0.25,0.083333333,0,0.4,0,0.333333333,0,0,0,0,0.016666667,2.716666667,0,27.20352907,34.84072859,27.20352907,142.4772986,42.47729861,176.45,272.2333333,98.5,72.79647093,2019,0.083333333,0.016666667,NA,NA,NA,NA,0.125,0.316666667,0.933333333,0,0.133333333,0.416666667,0,0.45,0.492753623,60
31022,2008.596491,2.280701754,1,1.280701754,8.025017544,0,0,0,0,2.280701754,2.280701754,0.105263158,1.98245614,0.192982456,0,5.333333333,5.333333333,220.0175439,0.052631579,3.894736842,0,0,0,0,0,0,298.8070175,0,0,0,0,0,6.280701754,8.385964912,6.280701754,8.385964912,37.64912281,0.877192982,0.052631579,0,0.01754386,0,0,0,0.105263158,0.01754386,0,0,0,0,0,0,0.315789474,0.228070175,0,0,0.01754386,0,100,100,0,0,0,0,0,0,0,0,0,0,0.01754386,0.245614035,0,0,0.035087719,0,0.403508772,0,0,0,0,0,2.105263158,0,24.44381154,27.20401024,24.41347776,134.1914596,34.19145965,220.0175439,298.8070175,80.89473684,75.58652224,2019,0.105263158,0,NA,NA,NA,NA,0,0.122807018,1,0,0,0.070175439,0,0.929824561,0.677966102,57
31023,1998.375,2.083333333,0.875,1.208333333,7.673,0,0,0,0,2.083333333,2.083333333,0.25,1,0.5,0.333333333,15.20833333,14.04166667,382.2083333,0.208333333,24.125,0.5,0.291666667,0,0,0,0,553.7916667,0,0,0,0,0,20.79166667,23.16666667,20.79166667,23.16666667,106.625,0.541666667,0,0.083333333,0,0,0.041666667,0,0,0.041666667,0,0.041666667,0.083333333,0,0,0,0.333333333,0.5,0,0.041666667,0,0,96.04166667,98.75,1.458333333,0.833333333,0,0,2.083333333,0.416666667,0.416666667,0,0,0.041666667,0,0.375,0.125,0,0.083333333,0,0.375,0,0,0.083333333,0,0.25,10.91666667,8.541666667,22.07253683,30.02044981,22.02097408,131.7191018,31.71910182,382.2083333,553.7916667,173.9583333,77.97902592,2019,0.166666667,0.041666667,0,0,1,0,0.166666667,0.5,0.916666667,0.05,0.416666667,0.125,0,0.458333333,0.25974026,24
31024,2002,1.941176471,1,0.941176471,5.994352941,0,0,0,0,1.941176471,1.941176471,0.176470588,1.411764706,0.176470588,0.176470588,6.764705882,6.764705882,187.5294118,0,11.17647059,0,0,0,0,0,0,288.4117647,0,0,0,0,0,12.70588235,12.52941176,11.82352941,11.64705882,120.5294118,0,0,0,0,0,0.117647059,0,0.058823529,0.058823529,0,0,0.058823529,0,0,0.117647059,0.411764706,0.235294118,0,0,0.117647059,0,100,100,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0.117647059,0.235294118,0.176470588,0,0.117647059,0,0.588235294,0.117647059,0,0,0,0.117647059,0.588235294,0.764705882,29.25695724,33.58669827,29.18876245,155.1945666,55.1945666,187.5294118,288.4117647,100.7058824,70.81123755,2019,0.176470588,0.058823529,NA,NA,NA,NA,0,0.176470588,1,0,0,0,0,1,0.318181818,17
31025,2006.5,2.2,0.475,1.725,7.2953,0,0,0,0,2.2,2.2,0.1,1.65,0.325,0.125,27.6,27.575,304.55,0.1,14.825,0,0.025,0,0,0,0,444.675,0,0,0,0,0,13.75,16.4,13.75,16.4,106.35,0.7,0.075,0,0.075,0,0,0,0,0,0,0,0.2,0,0,0.025,0.65,0.25,0,0,0.1,0,99,100,0,0,0,0,0,0,1,0,0.05,0.025,0.15,0.05,0.05,0.025,0.1,0,0.65,0,0,0,0,0.475,5.8,3.15,19.43453753,29.57353949,19.34025861,127.2430514,27.24305141,304.55,444.675,142.775,80.65974139,2019,0.2,0.025,NA,NA,NA,NA,0.222222222,0.45,0.95,0,0.175,0,0,0.825,0.32967033,40
