,cvegeo,pob
1676,21078,15928
1677,21079,5782
1678,21187,4934
1679,21188,19315
1680,21189,22454
1681,21190,1187
1682,21194,28395
1683,21184,6422
1684,21091,9828
1685,21208,87361
1686,21185,10344
1687,21082,8804
1688,21085,82809
1689,21104,32772
1690,21122,11063
1691,21123,3793
1692,21012,6591
1693,21013,22629
1694,21007,3162
1695,21090,23783
1696,21037,2334
1697,21035,20653
1698,21011,1885
1699,21018,3859
1700,21054,35223
1701,21127,3606
1702,21129,14018
1703,21130,3604
1704,21213,11967
1705,21124,15954
1706,21169,22331
1707,21159,3836
1708,21156,327312
1709,21155,6830
1710,21154,80771
1711,21034,46836
1712,21033,5403
1713,21032,1382
1714,21031,2820
1715,21172,27216
1716,21179,31639
1717,21153,23625
1718,21030,772
1719,21029,3811
1720,21028,2758
1721,21020,7704
1722,21077,5951
1723,21151,9315
1724,21121,1270
1725,21202,13025
1726,21203,7178
1727,21073,9760
1728,21136,12461
1729,21045,47410
1730,21043,49864
1731,21084,6950
1732,21086,12050
1733,21097,2668
1734,21036,14806
1735,21044,17139
1736,21060,7982
1737,21061,14461
1738,21062,4943
1739,21068,7011
1740,21072,17082
1741,21160,3689
1742,21161,22218
1743,21024,976
1744,21186,55576
1745,21170,19200
1746,21196,1570
1747,21042,3315
1748,21113,4627
1749,21131,975
1750,21089,12131
1751,21041,137435
1752,21040,12340
1753,21039,9837
1754,28026,3704
1755,28001,9822
1756,28002,28725
1757,21117,15952
1758,21017,29742
1759,21019,141793
1760,21173,6653
1761,21175,14432
1762,21052,1215
1763,21069,29233
1764,21168,7523
1765,21157,12672
1766,21162,4155
1767,21209,8595
1768,22009,27343
1769,23001,88626
1770,23003,22686
1771,23002,83990
1772,23005,911503
1773,23004,233648
1774,23011,26921
1775,23008,333800
1776,23010,41754
1777,23007,29171
1778,21118,30021
1779,21119,154448
1780,21120,5938
1781,24048,5298
1782,24015,21814
1783,24013,179371
1784,21125,9671
1785,21126,6597
1786,21128,10443
1787,21158,6743
1788,21053,66464
1789,21002,9170
1790,21003,37955
1791,21004,63743
1792,21005,3070
1793,21006,14542
1794,21008,11439
1795,24009,5050
1796,24043,7966
1797,24042,13448
1798,24012,20300
1799,24011,48106
1800,24010,30320
1801,24008,22075
1802,21133,692
1803,21134,20974
1804,21135,526
1805,21137,10464
1806,21138,11780
1807,21139,3759
1808,21140,138433
1809,21141,3488
1810,21205,26392
1811,21023,9051
1812,21116,22855
1813,21115,57992
1814,21114,1692181
1815,25003,26542
1816,25014,52345
1817,25001,459310
1818,25002,44093
1819,25020,
1820,25019,
1821,25009,59988
1822,25004,24899
1823,25005,17012
1824,25012,501441
1825,25007,29334
1826,25013,40358
1827,25015,79492
1828,25006,1003530
1829,25017,78670
1830,25011,289370
1831,21144,16790
1832,21145,13189
1833,21146,749
1834,21149,30309
1835,21150,6105
1836,21010,74768
1837,21014,4812
1838,21015,125876
1839,21016,9021
1840,26038,5173
1841,26033,77682
1842,21021,1512
1843,21026,15271
1844,21027,4128
1845,21165,1216
1846,21152,12631
1847,21206,4647
1848,21211,16752
1849,21212,20717
1850,21163,18854
1851,21049,17382
1852,21048,22039
1853,21047,21699
1854,21195,26559
1855,21164,84270
1856,21046,8193
1857,21210,5675
1858,21038,10542
1859,21112,9350
1860,21009,2207
1861,21076,27600
1862,21183,20433
1863,21071,103946
1864,21070,6111
1865,21111,18528
1866,22002,27365
1867,22010,18794
1868,22006,212567
1869,22003,13142
1870,22011,231668
1871,22012,77404
1872,22015,8359
1873,22016,297804
1874,22017,72201
1875,22018,27916
1876,22007,45141
1877,22001,66841
1878,22014,1049777
1879,22005,67121
1880,22004,69075
1881,22013,19141
1882,22008,36808
1883,23006,39165
1884,23009,46721
1885,24050,52912
1886,24052,10304
1887,24053,32544
1888,24054,49741
1889,24055,27386
1890,24007,19840
1891,24035,332072
1892,24041,18208
1893,24040,36968
1894,24039,13603
1895,24038,14348
1896,24037,95037
1897,24036,29184
1898,24006,9579
1899,24028,911908
1900,24031,12163
1901,24030,4779
1902,24029,18468
1903,24026,9382
1904,24005,18317
1905,24024,97943
1906,24023,15301
1907,24022,19036
1908,24021,58469
1909,24017,25119
1910,24016,40899
1911,24014,15660
1912,24033,10785
1913,24001,18974
1914,24057,28996
1915,24051,15458
1916,24058,20959
1917,24032,39880
1918,24027,10215
1919,24025,31107
1920,24056,17258
1921,24047,9277
1922,26032,888
1923,24059,
1924,24034,14945
1925,24002,7785
1926,24003,48359
1927,24004,4013
1928,24046,18206
1929,26037,1101
1930,24018,15334
1931,24019,5453
1932,24020,102199
1933,24044,7557
1934,24045,14188
1935,24049,38389
1936,25010,96593
1937,25008,55339
1938,25016,19505
1939,25018,149122
1940,26066,8548
1941,26056,10729
1942,26031,1186
1943,26070,13627
1944,26064,1381
1945,26062,1114
1946,26052,5257
1947,26051,4830
1948,26014,3191
1949,26015,1169
1950,26069,4793
1951,26021,1848
1952,26023,5829
1953,26041,14369
1954,26043,264782
1955,26034,943
1956,26016,4988
1957,26009,759
1958,26029,156863
1959,26002,91929
1960,26001,2563
1961,26003,24976
1962,26030,936263
1963,26057,1458
1964,26055,199021
1965,26024,753
1966,26022,863
1967,26025,51431
1968,26027,9041
1969,26005,1177
1970,26006,2788
1971,26071,21692
1972,26004,9492
1973,26063,1178
1974,26035,12536
1975,26068,1043
1976,26046,496
1977,26026,61309
1978,26049,3090
1979,26010,1221
1980,26061,1368
1981,26011,1475
1982,26018,436484
1983,26047,9122
1984,26050,1496
1985,26072,14279
1986,26053,369
1987,26042,164387
1988,26008,979
1989,26019,39451
1990,26060,2058
1991,26020,4946
1992,26059,1835
1993,26040,1531
1994,26067,1429
1995,29045,6211
1996,26065,1473
1997,29047,3534
1998,29033,99896
1999,29059,7750
2000,29004,18111
2001,26007,626
2002,26045,2438
2003,29054,5689
2004,26054,537
2005,26058,16203
2006,27006,137257
2007,27001,58524
2008,27016,58718
2009,27015,47905
2010,27014,96741
2011,27012,158601
2012,27002,243229
2013,27003,107731
2014,27004,683607
2015,27005,214877
2016,27007,32181
2017,27008,190885
2018,27009,37749
2019,27010,91185
2020,27011,30798
2021,27013,150300
2022,27017,62310
2023,28003,269790
2024,29010,73215
2025,29007,17332
2026,29021,18686
2027,29012,9416
2028,29031,35284
2029,29032,13561
2030,29034,45438
2031,28041,349688
2032,28010,1671
2033,28024,6385
2034,28015,15677
2035,28025,26237
2036,30071,59920
2037,30069,24085
2038,28040,60055
2039,28023,4280
2040,30148,28130
2041,30147,24578
2042,30146,3925
2043,28029,13190
2044,28030,13618
2045,28034,7411
2046,28035,51405
2047,28022,541979
2048,28036,926
2049,28028,3810
2050,28004,8850
2051,28006,7542
2052,28016,17012
2053,30145,16574
2054,30004,41742
2055,30070,18275
2056,30068,66372
2057,30067,19179
2058,30066,26830
2059,30065,85489
2060,28019,14645
2061,30128,77432
2062,30020,11577
2063,30101,38670
2064,28017,15994
2065,28020,2048
2066,28008,4143
2067,28043,22229
2068,28042,5361
2069,28014,3803
2070,30163,5040
2071,30019,6909
2072,30042,5743
2073,30043,19876
2074,30044,204721
2075,30047,59471
2076,30049,22050
2077,30052,11869
2078,30099,18327
2079,30105,95202
2080,30184,7933
2081,30175,92726
2082,30178,12898
2083,30180,10900
2084,30137,6308
2085,30196,17902
2086,30197,11205
2087,30198,6788
2088,30139,6126
2089,30186,7197
2090,30200,12581
2091,30202,14644
2092,30204,44104
2093,30207,44978
2094,30208,23376
2095,30201,45028
2096,30181,37795
2097,30182,19664
2098,30183,61377
2099,30076,13377
2100,30077,42807
2101,30080,23132
2102,30081,27295
2103,30082,15831
2104,30083,50836
2105,30084,5574
2106,30085,74004
2107,30086,46794
2108,30088,5054
2109,30089,38669
2110,30090,11132
2111,30091,28524
2112,30092,39623
2113,28009,205933
2114,30161,34408
2115,30167,14619
2116,28018,6375
2117,29019,22274
2118,29042,14197
2119,29044,45717
2120,29053,7688
2121,29008,16222
2122,29029,13328
2123,29046,4951
2124,29025,82688
2125,29058,9463
2126,29014,15190
2127,29028,25257
2128,29040,10601
2129,29060,5443
2130,29015,38970
2131,29057,4636
2132,31100,4049
2133,29056,7952
2134,29051,4092
2135,29041,33499
2136,29038,18006
2137,29023,26309
2138,29020,9432
2139,29017,11592
2140,29022,6432
2141,29001,11403
2142,29006,51172
2143,29016,7504
2144,29049,5884
2145,29043,42242
2146,29013,98764
2147,29002,16003
2148,29005,80725
2149,29018,38579
2150,29003,7087
2151,29011,4755
2152,29009,5928
2153,29035,6294
2154,29030,15475
2155,29026,24116
2156,29050,11761
2157,29052,6436
2158,29027,12974
2159,29055,3077
2160,29024,28357
2161,29037,9207
2162,29048,19036
2163,29039,25607
2164,29036,22529
2165,30162,6448
2166,30169,22709
2167,30185,5548
2168,30187,6105
2169,30188,17217
2170,30189,154600
2171,30190,2258
2172,30078,12379
2173,30191,30097
2174,30079,11387
2175,30192,20204
2176,30194,12492
2177,30031,18888
2178,30195,5900
2179,30199,11899
2180,30206,29209
2181,30210,30891
2182,30211,30351
2183,30212,13062
2184,30103,12799
2185,30141,162428
2186,30140,3134
2187,30138,41795
2188,30136,8343
2189,30131,189457
2190,30116,17027
2191,30109,65761
2192,30107,2934
2193,30203,14524
2194,30205,19402
2195,30098,3299
2196,30075,16525
2197,30074,7293
2198,30073,41670
2199,30072,21796
2200,30149,34385
2201,30150,11631
2202,30064,4008
2203,30173,54537
2204,30209,15044
2205,30032,49451
2206,30040,55016
2207,30039,310698
2208,30038,93911
2209,30037,8176
2210,30036,11018
2211,30035,11165
2212,30034,25011
2213,30033,24421
2214,30030,41835
2215,30029,13701
2216,30028,144550
2217,30027,16120
2218,30026,25993
2219,30025,27217
2220,30024,16485
2221,30023,49180
2222,30022,22651
2223,30168,16343
2224,30166,9405
2225,30165,8925
2226,30164,16957
2227,30126,33442
2228,30050,16333
2229,30046,16167
2230,30021,23461
2231,30018,1978
2232,30009,28184
2233,30112,22835
2234,30008,10338
2235,30007,6538
2236,30006,23100
2237,30111,16493
2238,30110,12125
2239,30005,5253
2240,30051,23096
2241,30045,54737
2242,30013,26843
2243,30014,46955
2244,30002,3441
2245,30001,9701
2246,30003,80815
2247,30120,10343
2248,30127,28258
2249,30048,130903
2250,30059,22638
2251,30100,23918
2252,30087,488531
2253,30097,19123
2254,30010,64234
2255,30108,144776
2256,30011,57035
2257,30012,7866
2258,30015,33839
2259,30016,28682
2260,30017,4709
2261,30117,23773
2262,30113,4614
2263,30114,10130
2264,30115,37314
2265,30041,2355
2266,30053,28075
2267,30054,11461
2268,30055,13527
2269,30056,6610
2270,30057,13881
2271,30058,53858
2272,30060,16283
2273,30061,81080
2274,30062,20839
2275,30063,13359
2276,30093,16585
2277,30094,38367
2278,30095,15059
2279,30096,1543
2280,30104,17134
2281,30118,123182
2282,30119,5651
2283,30121,22756
2284,30123,96185
2285,30124,159910
2286,30125,31894
2287,30129,18053
2288,30130,39327
2289,30122,18051
2290,30132,20300
2291,30133,57909
2292,30134,23544
2293,30135,24127
2294,30106,4841
2295,30102,108842
2296,30170,10824
2297,30171,5575
2298,30172,19925
2299,30174,95602
2300,30176,4489
2301,30179,4284
2302,30177,11685
2303,30193,607209
2304,30143,57085
2305,30144,32400
2306,30142,32631
2307,30151,21902
2308,30152,11561
2309,30153,5795
2310,30154,11991
2311,30155,99959
2312,30156,6041
2313,30157,20145
2314,30158,24551
2315,30159,29686
2316,30160,107270
2317,31009,4466
2318,31007,7490
2319,31019,38934
2320,31101,69147
2321,31106,2215
2322,31105,3293
2323,31103,3451
2324,31097,3684
2325,31095,5690
2326,31081,3355
2327,31090,7503
2328,31088,1917
2329,31087,5464
2330,31066,4220
2331,31083,1915
2332,31086,2133
2333,31055,7080
2334,31036,8090
2335,31032,16779
2336,31082,3512
2337,31016,3104
2338,31080,11020
2339,31102,85460
2340,31071,1949
2341,31069,8967
2342,31078,3747
2343,31037,5250
2344,31027,8345
2345,31058,25954
2346,31077,2683
2347,31074,3774
2348,31049,3965
2349,31065,2118
2350,31026,3622
2351,31025,6003
2352,31001,6550
2353,31050,995129
2354,31023,4863
2355,31035,6384
2356,31034,6514
2357,31015,5560
2358,31064,1701
2359,31013,16671
2360,31072,1857
2361,31093,18420
2362,31061,3974
2363,31014,1714
2364,31089,40495
2365,31070,3971
2366,31068,3206
2367,31012,3736
2368,31010,2755
2369,31002,16772
2370,31063,5631
2371,31060,976
2372,31020,4497
2373,31067,10053
2374,31054,2990
2375,31075,6921
2376,31053,13494
2377,31076,17939
2378,31098,15346
2379,31042,5553
2380,31052,37804
2381,31006,9159
2382,31056,33854
2383,31057,7766
2384,31028,2936
2385,31062,4962
2386,31051,3430
2387,31040,28555
2388,31085,16680
2389,31104,16350
2390,31091,12700
2391,31048,23991
2392,31096,80672
2393,31099,4191
2394,31005,2167
2395,31047,5968
2396,31046,3296
2397,31044,7530
2398,31043,3405
2399,31004,6195
2400,31003,12285
2401,31022,4363
2402,32058,2767
2403,32036,44144
2404,32035,16284
2405,31033,21255
2406,31079,45062
2407,31059,66008
2408,32037,17577
2409,32040,21844
2410,32033,4530
2411,32020,59910
2412,32010,240532
2413,32034,27945
2414,32005,45759
2415,32045,8321
2416,32038,72241
2417,32051,34623
2418,32050,10276
2419,32049,32461
2420,32048,27302
2421,31094,5444
2422,31084,7037
2423,31029,6240
2424,31041,141939
2425,31038,35137
2426,31030,4015
2427,31021,9406
2428,32046,6490
2429,32025,13184
2430,32044,16588
2431,32043,1365
2432,32054,19446
2433,32042,63665
2434,31039,4186
2435,31092,7888
2436,31018,3385
2437,31017,4686
2438,32057,20455
2439,32030,2446
2440,32032,13207
2441,32056,149607
2442,32018,4547
2443,32022,19749
2444,32002,4942
2445,32001,6260
2446,32015,1579
2447,32028,2451
2448,32026,17774
2449,32052,19525
2450,32024,53709
2451,32004,4493
2452,32029,23713
2453,32053,13208
2454,32023,12251
2455,32039,64535
2456,32055,31558
2457,31024,3244
2458,32031,8683
2459,32021,4465
2460,32008,13466
2461,32007,12115
2462,32047,5356
2463,32012,8168
2464,32006,8255
2465,32011,3362
2466,31031,2818
2467,31011,8389
2468,31008,3949
2469,32027,2736
2470,32019,25296
2471,32003,2277
2472,32041,2509
2473,32016,23526
2474,32014,20191
2475,32013,6644
2476,32009,10086
2477,32017,211740
